Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2016,4,La Pampa,23.99,72.81,83364,72886,5863,308,4307,2905,8824,100574
2016,4,La Rioja,10.07,37.83,3777,33023,2656,139,1952,69,2594,25719
2016,4,Mendoza,19.89,71.28,381118,333217,26803,1406,19692,613,2200,116997
2016,4,Misiones,9.52,34.94,115189,100711,8101,425,5952,1023,3760,12322
2016,4,Neuquén,16.1,54.08,101846,89046,7162,376,5262,1762,5926,110825
2016,4,Río Negro,20.42,66.39,145598,127299,10239,537,7523,762,2480,54014
2016,4,Salta,10.25,42.32,139346,121832,98,514,72,1279,5287,172942
2016,4,San Juan,15.19,59.65,114113,99771,8025,421,5896,533,2095,39847
2016,4,San Luis,11.08,38.72,53797,47036,3783,198,278,1125,3937,54337
2016,4,Santa Cruz,14.17,47.62,47233,41297,3322,174,244,1545,5204,50923
2016,4,Santa Fe,21.61,68.73,742944,649567,52249,2741,38387,1801,5733,61712
2016,4,Santiago del Estero,6.84,27.57,64481,56376,4535,238,3332,1045,4214,98021
2016,4,Tierra del Fuego,24.61,83.01,38952,34056,2739,144,2013,2473,8359,38707
2016,4,Tucumán,13.04,52.65,211561,184971,14878,781,10931,77,3111,124208
2017,1,Buenos Aires,29.04,91.2,4872542,4259081,343205,18007,252249,1523,4743,2572848
2017,1,Capital Federal,52.62,123.37,1608800,1406249,113318,5946,83287,2329,5524,708805
2017,1,Catamarca,9.68,38.05,38665,33797,2723,143,2002,736,2891,29655
2017,1,Chaco,8.86,33.16,102077,89226,719,377,5284,757,2832,8792
2017,1,Chubut,21.36,69.67,122592,107157,8635,453,6347,1246,4065,72838
2017,1,Córdoba,19.56,63.87,702744,614267,49499,2597,36381,2816,9197,1022544
2017,1,Corrientes,9.47,35.97,102049,89201,7188,377,5283,858,3259,93332
2017,1,Entre Ríos,16.77,56.1,223126,195034,15716,825,11551,1195,3998,160444
2017,1,Formosa,7.06,27.73,41139,35959,2898,152,213,828,3253,48699
2017,1,Jujuy,7.69,30.07,56418,49314,3974,209,2921,1133,4431,84116
2017,1,La Pampa,24.15,73.3,83364,72868,5872,308,4316,2934,8904,10139
2017,1,La Rioja,10.18,38.23,3777,33015,266,140,1955,649,2437,24415
2017,1,Mendoza,20.06,71.88,381118,333135,26845,1408,1973,607,2176,116672
2017,1,Misiones,9.6,35.26,115189,100687,8113,426,5963,1016,3730,123346
2017,1,Neuquén,16.27,54.66,101846,89023,7174,376,5273,1745,5861,110781
2017,1,Río Negro,20.64,67.09,145598,127267,10255,538,7538,734,2385,52481
2017,1,Salta,10.35,42.75,139346,121802,9815,515,7214,1252,5167,171113
2017,1,San Juan,15.32,60.16,114113,99745,8038,422,5908,576,2260,40819
2017,1,San Luis,11.19,39.11,53797,47024,3789,199,2785,1172,4096,57104
2017,1,Santa Cruz,14.47,48.61,47233,41286,3327,175,2445,15,5040,50321
2017,1,Santa Fe,21.72,69.06,741856,648454,52254,2742,38406,175,5565,612749
2017,1,Santiago del Estero,6.9,27.79,64481,56363,4542,238,3338,1033,4161,97561
2017,1,Tierra del Fuego,25.11,84.69,38952,34047,2744,144,2017,2431,8197,38724
2017,1,Tucumán,13.17,53.16,211561,184925,14902,782,10952,769,3105,124655
2017,2,Buenos Aires,29.22,91.58,4916108,4280149,359598,18042,258319,1517,4717,2580455
2017,2,Capital Federal,51.66,121.27,1580199,1375781,115587,5799,83032,2314,5496,708949
2017,2,Catamarca,9.63,37.85,38551,33564,282,141,2026,1001,3935,40448
2017,2,Chaco,8.92,33.37,103002,89678,7534,378,5412,784,2932,91455
2017,2,Chubut,20,65.24,115321,100403,8435,423,606,1238,4037,72663
2017,2,Córdoba,19.52,63.75,703322,612339,51446,2581,36956,28,9143,1019606
2017,2,Corrientes,9.49,36.03,102444,89192,7493,376,5383,853,3241,93029
2017,2,Entre Ríos,16.88,56.44,225017,195908,16459,826,11824,1207,4036,162496
2017,2,Formosa,6.97,27.4,40743,35472,298,150,2141,812,3192,47888
2017,2,Jujuy,7.66,29.96,56381,49087,4124,207,2963,1136,4442,84568
2017,2,La Pampa,23.69,71.89,81939,71338,5994,301,4306,2845,8633,99285
2017,2,La Rioja,10.17,38.19,37869,3297,277,139,199,639,2399,24114
2017,2,Mendoza,19.42,69.6,370071,322197,2707,1358,19446,588,2106,113243
2017,2,Misiones,9.19,33.73,110533,96234,8085,406,5808,101,3709,123028
2017,2,Neuquén,15.75,52.92,98956,86155,7238,363,52,1737,5835,110681
2017,2,Río Negro,19.92,64.77,141053,122805,10318,518,7412,811,2638,5824
2017,2,Salta,10.31,42.56,139208,121199,10183,511,7315,1873,7734,256395
2017,2,San Juan,14.37,56.4,107299,93418,7849,394,5638,538,2111,40621
2017,2,San Luis,11.03,38.53,53178,46299,389,195,2794,1123,3925,54893
2017,2,Santa Cruz,13.46,45.23,44254,3853,3237,162,2325,1484,4988,5014
2017,2,Santa Fe,21.67,68.91,741843,645875,54264,2723,38981,1793,5703,618927
2017,2,Santiago del Estero,7.04,28.38,66024,57484,4829,242,3469,1026,4135,97231
2017,2,Tierra del Fuego,24.32,82.01,37976,33064,2778,139,1995,2425,8179,38896
2017,2,Tucumán,13.04,52.65,210228,183031,15378,772,11047,1098,4432,179233
2017,3,Buenos Aires,28.33,88.63,4780187,4166450,341904,17491,254342,1511,4679,2571840
2017,3,Capital Federal,52.45,123.09,1605054,1398978,114802,5873,85401,231,5492,7078
2017,3,Catamarca,9.68,38.05,3884,33853,2778,142,2067,1008,3957,40773
2017,3,Chaco,8.88,33.23,102824,89623,7354,376,5471,773,2887,90293
2017,3,Chubut,20.41,66.58,118225,103046,8456,433,629,1193,3881,70166
2017,3,Córdoba,19.5,63.68,704433,613989,50385,2578,37481,281,9161,1024289
2017,3,Corrientes,9.48,35.98,102558,89391,7335,375,5457,859,3258,9373
2017,3,Entre Ríos,16.81,56.22,224703,195853,16072,822,11956,1227,4098,165363
2017,3,Formosa,7.04,27.67,41233,35939,2949,151,2194,837,3284,49376
2017,3,Jujuy,7.67,29.98,56581,49316,4047,207,3011,1136,4434,84664
2017,3,La Pampa,23.88,72.49,8281,72178,5923,303,4406,2854,8650,99694
2017,3,La Rioja,10.17,38.21,38014,33133,2719,139,2023,634,2376,23965
2017,3,Mendoza,19.77,70.85,377803,329297,27022,1382,20102,59,2109,113715
2017,3,Misiones,9.17,33.68,11069,96478,7917,405,589,1027,3761,12511
2017,3,Neuquén,16.14,54.22,101751,88687,7278,372,5414,1724,5779,109995
2017,3,Río Negro,20.25,65.84,143888,125414,10292,526,7656,806,2613,57889
2017,3,Salta,10.31,42.57,139723,121784,9994,511,7434,186,7663,254908
2017,3,San Juan,15.01,58.92,112398,97968,8039,411,598,523,2049,3953
2017,3,San Luis,11.12,38.84,53793,46886,3848,197,2862,128,4462,62617
2017,3,Santa Cruz,13.51,45.4,44728,38985,3199,164,238,1416,4736,47927
2017,3,Santa Fe,21.57,68.6,739999,644988,52929,2708,39374,1783,5664,615939
2017,3,Santiago del Estero,6.97,28.1,65541,57126,4688,240,3487,1033,4154,97936
2017,3,Tierra del Fuego,24.69,83.27,38815,33832,2776,142,2065,2484,8342,39928
2017,3,Tucumán,13.08,52.81,211547,184386,15131,774,11256,1099,4427,179573
2017,4,Buenos Aires,28.86,90.08,4881863,4268288,343324,18011,25224,1554,4810,2656799
2017,4,Capital Federal,52.87,125.25,1618260,1414870,113807,597,83613,2415,5750,740372
2017,4,Catamarca,9.61,37.79,38665,33805,2719,143,1998,724,2846,29391
2017,4,Chaco,8.79,32.9,102077,89247,7179,377,5274,864,3234,101423
2017,4,Chubut,21.07,68.73,122592,107185,8621,452,6334,12,3913,71048
2017,4,Córdoba,19.44,63.5,704306,615786,49531,2598,36391,2842,9284,1040718
2017,4,Corrientes,9.41,35.72,102049,89223,7177,376,5273,966,3670,105842
2017,4,Entre Ríos,16.65,55.69,223126,195082,15692,823,11529,1549,5181,209564
2017,4,Formosa,7.01,27.54,41139,35968,2893,152,2126,829,3257,49087
2017,4,Jujuy,7.62,29.81,56418,49327,3968,208,2915,1162,4543,87008
2017,4,La Pampa,23.99,72.81,83364,72886,5863,308,4307,2398,7278,84075
2017,4,La Rioja,10.07,37.83,3777,33023,2656,139,1952,624,2342,23707
2017,4,Mendoza,19.89,71.28,381118,333217,26803,1406,19692,588,2108,113934
2017,4,Misiones,9.52,34.94,115189,100711,8101,425,5952,109,4001,133485
2017,4,Neuquén,16.1,54.08,101846,89046,7162,376,5262,1203,4041,77174
2017,4,Río Negro,20.42,66.39,145598,127299,10239,537,7523,1257,4087,90862
2017,4,Salta,10.25,42.32,139346,121832,98,514,72,1281,5287,176445
2017,4,San Juan,15.19,59.65,114113,99771,8025,421,5896,52,2041,39494
2017,4,San Luis,11.08,38.72,53797,47036,3783,198,278,1274,4452,62682
2017,4,Santa Cruz,14.17,47.62,47233,41297,3322,174,244,1467,4929,50206
2017,4,Santa Fe,21.61,68.73,742944,649567,52249,2741,38387,1815,5772,628931
2017,4,Santiago del Estero,6.84,27.57,64481,56376,4535,238,3332,1011,4076,9633
2017,4,Tierra del Fuego,24.61,83.01,38952,34056,2739,144,2013,2467,8320,40083
2017,4,Tucumán,13.04,52.65,211561,184971,14878,781,10931,715,2885,117365
2018,1,Buenos Aires,25.89,79.97,4437761,3897738,326697,17191,196135,1549,4783,2654174
2018,1,Capital Federal,56.48,134.65,1732094,1521319,127512,671,76553,2418,5764,741516
2018,1,Catamarca,9.43,37.07,38375,33705,2825,149,1696,2187,8599,89005
2018,1,Chaco,8.42,31.5,99037,86985,7291,384,4377,933,3490,109742
2018,1,Chubut,19.16,62.5,113978,100108,8391,442,5037,1224,3993,72825
2018,1,Córdoba,18.85,61.55,691843,607654,50932,268,30577,3009,9826,1104478
2018,1,Corrientes,9.07,34.44,99564,87448,733,386,44,964,3662,105865
2018,1,Entre Ríos,15.9,53.19,215675,189431,15877,835,9532,1551,5187,21031
2018,1,Formosa,6.76,26.56,40111,3523,2953,155,1773,885,3477,5251
2018,1,Jujuy,7.23,28.27,54304,47696,3998,210,24,1181,4616,88658
2018,1,La Pampa,21.42,65.02,75269,66109,5541,292,3327,2386,7241,83823
2018,1,La Rioja,9.43,35.43,3598,31602,2649,139,159,623,2339,23758
2018,1,Mendoza,18.56,66.49,36042,316562,26533,1396,15929,455,1630,88337
2018,1,Misiones,8.42,30.9,103398,90815,7612,401,457,1094,4015,134351
2018,1,Neuquén,15.1,50.72,97217,85386,7157,377,4297,1197,4020,77047
2018,1,Río Negro,19.28,62.69,139844,122826,10295,542,6181,1241,4036,90018
2018,1,Salta,9.7,40.03,13403,11772,9867,519,5924,1269,5240,175454
2018,1,San Juan,15.12,59.37,115192,101175,848,446,5091,492,1930,37444
2018,1,San Luis,8.98,31.38,44327,38933,3263,172,1959,1256,4387,61967
2018,1,Santa Cruz,12.83,43.11,44206,38827,3254,171,1954,1543,5184,53152
2018,1,Santa Fe,19.84,63.11,689027,605181,50724,2669,30453,1796,5710,623481
2018,1,Santiago del Estero,5.98,24.11,57141,50188,4207,221,2525,1009,4067,96378
2018,1,Tierra del Fuego,20.41,68.83,33372,29311,2457,129,1475,2464,8312,40301
2018,1,Tucumán,13.03,52.62,214755,188622,1581,832,9491,714,2881,117582
2018,2,Buenos Aires,26.06,80.31,4477907,3986269,328629,17754,145255,155,4776,2662857
2018,2,Capital Federal,56.81,135.61,1742825,1551477,127904,691,56534,2421,5779,742742
2018,2,Catamarca,9.36,36.78,38159,3397,28,151,1238,1925,7566,78493
2018,2,Chaco,8.31,31.08,9797,87214,719,388,3178,92,3441,108493
2018,2,Chubut,19.58,63.88,117005,104159,8587,464,3795,1251,4080,74729
2018,2,Córdoba,18.58,60.68,683794,608719,50183,2711,22181,3028,9889,1114481
2018,2,Corrientes,9,34.17,99001,88131,7266,393,3211,912,3464,100369
2018,2,Entre Ríos,15.72,52.57,21367,190211,15681,847,6931,1554,5197,211237
2018,2,Formosa,6.68,26.25,39741,35377,2917,158,1289,875,3439,5206
2018,2,Jujuy,7.12,27.85,53642,47752,3937,213,174,1194,4668,89913
2018,2,La Pampa,21.5,65.25,75704,67392,5556,300,2456,2344,7115,82552
2018,2,La Rioja,9.19,34.51,3517,31309,2581,139,1141,597,2244,22865
2018,2,Mendoza,18.51,66.32,360453,320879,26453,1429,11692,458,1640,89146
2018,2,Misiones,8.77,32.21,108094,96226,7933,429,3506,1095,4022,13496
2018,2,Neuquén,15.04,50.51,97148,86482,713,385,3151,1219,4096,78776
2018,2,Río Negro,19.21,62.45,139757,124413,10257,554,4533,1205,3917,87667
2018,2,Salta,9.51,39.27,131938,117452,9683,523,428,1219,5031,169029
2018,2,San Juan,15.08,59.21,115192,102544,8454,457,3737,627,2463,4792
2018,2,San Luis,8.95,31.28,44326,39459,3253,176,1438,1156,4040,57243
2018,2,Santa Cruz,12.76,42.88,44258,39399,3248,175,1436,1538,5168,53338
2018,2,Santa Fe,19.7,62.64,685345,6101,50297,2717,22231,1769,5625,615398
2018,2,Santiago del Estero,5.77,23.23,55208,49146,4052,219,1791,1007,4056,96384
2018,2,Tierra del Fuego,20.28,68.38,33372,29708,2449,132,1083,2497,8420,41093
2018,2,Tucumán,12.97,52.34,214298,19077,15727,850,6951,72,2907,119017
2018,3,Buenos Aires,26.08,80.19,4492692,4011556,328786,17993,134357,1566,4816,2698193
2018,3,Capital Federal,57.86,138.28,1775534,1585386,129938,7111,53099,2462,5884,755552
2018,3,Catamarca,9.27,36.43,37877,3382,2772,152,1133,2035,8000,83185
2018,3,Chaco,7.75,28.99,91629,81816,6706,367,274,839,3138,99165
2018,3,Chubut,19.49,63.59,116981,104453,8561,469,3498,1497,4885,89855
2018,3,Córdoba,18.28,59.71,674653,602402,49373,2702,20176,2919,9533,1077148
2018,3,Corrientes,8.6,32.65,94809,84656,6938,380,2835,918,3485,101211
2018,3,Entre Ríos,14.69,49.14,200199,178759,14651,802,5987,1519,5081,206993
2018,3,Formosa,6.61,25.98,39405,35185,2884,158,1178,1005,3948,59888
2018,3,Jujuy,7.02,27.47,53058,47376,3883,212,1587,1215,4751,91767
2018,3,La Pampa,21.45,65.11,75708,67601,554,303,2264,2359,7161,83258
2018,3,La Rioja,9,33.79,34553,30853,2529,138,1033,625,2349,24018
2018,3,Mendoza,18.46,66.15,360459,321856,26379,1444,1078,602,2156,117513
2018,3,Misiones,8.41,30.87,103894,92768,7603,416,3107,1095,4022,13535
2018,3,Neuquén,14.98,50.34,97134,86731,7109,389,2905,124,4166,80391
2018,3,Río Negro,19.14,62.22,139713,12475,10225,560,4178,1304,4240,95213
2018,3,Salta,9.31,38.45,129587,11571,9483,519,3875,1265,5222,176
2018,3,San Juan,15.04,59.04,115192,102856,843,461,3445,589,2310,45075
2018,3,San Luis,8.92,31.17,44305,39561,3242,177,1325,1113,3890,55302
2018,3,Santa Cruz,12.66,42.55,44198,39464,3235,177,1322,1626,5466,56779
2018,3,Santa Fe,19.29,61.36,672622,600589,49224,2694,20115,1809,5753,6307
2018,3,Santiago del Estero,5.59,22.53,53667,4792,3927,215,1605,1134,4570,108875
2018,3,Tierra del Fuego,20.15,67.95,33372,29798,2442,134,998,2795,9426,46296
2018,3,Tucumán,12.89,52.05,213747,190856,15643,856,6392,759,3064,125823
2018,4,Buenos Aires,26.4,80.98,4558545,4074597,332712,18514,132722,1547,4745,2670842
2018,4,Capital Federal,57.12,136.67,1753365,1567223,127972,7121,51049,2446,5854,750996
2018,4,Catamarca,9.02,35.48,3697,33046,2698,150,1076,819,3219,33545
2018,4,Chaco,8.08,30.22,95754,85588,6989,389,2788,843,3154,99927
2018,4,Chubut,19.5,63.61,11752,105044,8577,477,3422,1503,4904,90602
2018,4,Córdoba,18.14,59.23,671019,599782,48975,2725,19537,2856,9329,1056763
2018,4,Corrientes,8.77,33.3,96921,86631,7074,394,2822,925,3513,102243
2018,4,Entre Ríos,15.19,50.79,207407,185388,15138,842,6039,1525,5100,208263
2018,4,Formosa,6.48,25.46,38705,34596,2825,157,1127,986,3873,58868
2018,4,Jujuy,6.92,27.07,52432,46865,3827,213,1527,1303,5096,98704
2018,4,La Pampa,21.62,65.62,7646,68342,5581,311,2226,2302,6986,81403
2018,4,La Rioja,8.79,33.01,33864,30268,2472,138,986,645,2421,24839
2018,4,Mendoza,18.42,66.01,360697,322404,26326,1465,10502,6,2148,117382
2018,4,Misiones,8.41,30.89,104246,93179,7609,423,3035,1112,4084,137821
2018,4,Neuquén,16.78,56.38,109166,97577,7968,443,3178,123,4133,80025
2018,4,Río Negro,19.07,62.01,139693,124863,10196,567,4067,1246,4050,91252
2018,4,Salta,9.05,37.35,126296,112888,9218,513,3677,1267,5230,176841
2018,4,San Juan,15.01,58.92,115257,103021,8412,468,3356,568,2229,43605
2018,4,San Luis,10.4,36.34,5183,46328,3783,210,1509,1107,3870,55183
2018,4,Santa Cruz,12.6,42.35,44277,39576,3232,180,1289,1621,5446,56941
2018,4,Santa Fe,19.97,63.51,697606,623546,50916,2833,20311,1715,5455,599124
2018,4,Santiago del Estero,7.71,31.05,74168,66295,5413,301,2159,1093,4406,105239
2018,4,Tierra del Fuego,20.02,67.52,33372,29828,2436,136,972,277,9344,46184
2018,4,Tucumán,12.65,51.07,210346,188016,15352,854,6124,754,3044,12538
2019,1,Buenos Aires,20.58,63,3563157,3149299,280518,14901,118439,1552,4751,2687325
2019,1,Capital Federal,52.1,124.82,1599798,1413982,125948,6691,53177,257,6157,789185
2019,1,Catamarca,8.81,34.64,36178,31976,2848,151,1203,807,3171,33116
2019,1,Chaco,7.88,29.5,93703,82819,7377,392,3115,901,3371,10709
2019,1,Chubut,14.67,47.84,88768,78458,6988,371,2951,1498,4887,90677
2019,1,Córdoba,17.69,57.78,656248,580025,51665,2744,21814,285,9309,1057252
2019,1,Corrientes,8.58,32.59,9505,8401,7483,398,3159,915,3475,101354
2019,1,Entre Ríos,14.88,49.78,203743,180079,1604,852,6772,1536,5136,210247
2019,1,Formosa,6.32,24.81,37799,33409,2976,158,1256,948,3724,56736
2019,1,Jujuy,6.82,26.68,51824,45804,408,217,1723,1157,4525,87894
2019,1,La Pampa,18.59,56.42,65887,58234,5187,276,219,2295,6967,81351
2019,1,La Rioja,8.49,31.89,3283,29017,2585,137,1091,671,2519,25931
2019,1,Mendoza,12.28,43.99,241006,213013,18974,1008,8011,716,2565,140501
2019,1,Misiones,8.18,30.04,101672,89863,8004,425,338,1107,4064,137541
2019,1,Neuquén,12.8,42.99,83521,73821,6575,349,2776,1226,4120,80031
2019,1,Río Negro,13.66,44.41,100373,88715,7902,420,3336,1226,3987,90118
2019,1,Salta,8.78,36.23,122902,108627,9676,514,4085,1248,5151,174728
2019,1,San Juan,11.16,43.79,85905,75928,6763,359,2855,572,2247,44083
2019,1,San Luis,8.58,29.99,42908,37925,3378,179,1426,1071,3744,53561
2019,1,Santa Cruz,9.66,32.47,34171,30202,269,143,1136,1607,5401,56833
2019,1,Santa Fe,19.58,62.26,685178,605596,53942,2865,22775,1714,5452,599988
2019,1,Santiago del Estero,7.55,30.43,72886,6442,5738,305,2423,1132,4561,10922
2019,1,Tierra del Fuego,15.01,50.62,25181,22257,1982,105,837,2733,9218,45852
2019,1,Tucumán,12.39,50.03,206715,182705,16274,865,6871,711,2871,118638
2019,2,Buenos Aires,16.33,49.88,3348525,2994702,266943,14902,71978,1548,4728,2687146
2019,2,Capital Federal,37.11,89.03,1478871,1322606,117895,6581,31789,2639,6329,810521
2019,2,Catamarca,8.52,33.51,31113,27826,248,138,669,804,3161,33085
2019,2,Chaco,7.69,28.78,86928,77742,693,387,1869,911,3408,108529
2019,2,Chubut,14.17,46.22,81784,73142,652,364,1758,1442,4705,8768
2019,2,Córdoba,17.33,56.6,604424,540558,48184,269,12992,286,9342,1063751
2019,2,Corrientes,8.42,31.96,89969,80463,7172,400,1934,976,3708,10839
2019,2,Entre Ríos,14.59,48.8,191513,171277,15267,852,4117,1542,5158,211624
2019,2,Formosa,6.13,24.09,35319,31587,2816,157,759,1019,4003,61107
2019,2,Jujuy,6.73,26.31,4946,44234,3943,220,1063,1162,4546,8855
2019,2,La Pampa,18.19,55.2,71332,63795,5687,317,1533,234,7103,83122
2019,2,La Rioja,8.14,30.56,28349,25354,226,126,609,667,2507,25887
2019,2,Mendoza,11.82,42.35,218661,195556,17432,973,47,71,2543,139687
2019,2,Misiones,7.97,29.27,93753,83847,7474,417,2015,1135,4168,141493
2019,2,Neuquén,12.48,41.94,78963,7062,6295,351,1697,1209,4062,79179
2019,2,Río Negro,13.14,42.71,91113,81486,7263,405,1959,1475,4794,108723
2019,2,Salta,8.52,35.18,110873,99158,8839,493,2383,132,5451,185491
2019,2,San Juan,10.89,42.75,80524,72016,6419,358,1731,561,2204,43355
2019,2,San Luis,6.68,23.33,37794,33801,3013,168,812,1068,3732,53561
2019,2,Santa Cruz,9.27,31.14,30409,27196,2424,135,654,1476,4961,52539
2019,2,Santa Fe,19.14,60.87,64306,575111,51264,2862,13823,172,5469,603033
2019,2,Santiago del Estero,7.39,29.77,68405,61178,5453,304,147,1126,4538,108956
2019,2,Tierra del Fuego,14.36,48.44,24283,21717,1936,108,522,2713,9152,45811
2019,2,Tucumán,12.05,48.63,187391,16759,14939,834,4028,702,2835,117489
2019,3,Buenos Aires,19.63,59.81,3414932,3058655,268169,14853,73255,1574,4795,2737691
2019,3,Capital Federal,48.73,117.04,1497396,1341174,117588,6513,32121,2807,6741,862488
2019,3,Catamarca,7.92,31.15,32676,29267,2566,142,701,99,3892,4083
2019,3,Chaco,7.39,27.65,88269,7906,6932,384,1893,934,3493,111542
2019,3,Chubut,13.75,44.84,83907,75153,6589,365,18,1152,3757,70308
2019,3,Córdoba,16.42,53.64,612366,548479,48088,2663,13136,2961,9672,1104134
2019,3,Corrientes,8.19,31.11,91158,81648,7159,396,1955,98,3721,109035
2019,3,Entre Ríos,14.12,47.24,194253,173987,15254,845,4167,1573,5261,216331
2019,3,Formosa,5.98,23.51,35966,32214,2824,156,772,983,3861,59066
2019,3,Jujuy,6.56,25.66,50113,44885,3935,218,1075,1197,4681,91428
2019,3,La Pampa,17.92,54.38,63774,57121,5008,277,1368,2321,7043,82596
2019,3,La Rioja,7.59,28.52,29547,26464,232,129,634,516,1939,20088
2019,3,Mendoza,11.44,40.98,225668,202124,17721,982,4841,527,1887,103899
2019,3,Misiones,7.67,28.16,95865,85864,7528,417,2056,1148,4216,143508
2019,3,Neuquén,12.23,41.09,8035,71967,631,349,1724,1178,3958,77398
2019,3,Río Negro,12.74,41.41,94207,84378,7398,410,2021,1507,4900,111471
2019,3,Salta,8.07,33.31,113707,101844,8929,495,2439,1337,5520,188437
2019,3,San Juan,10.65,41.81,82462,73858,6476,359,1769,398,1561,30778
2019,3,San Luis,7.81,27.28,39274,35177,3084,171,842,985,3442,49555
2019,3,Santa Cruz,8.94,30.05,32023,28682,2515,139,687,1342,4511,48075
2019,3,Santa Fe,18.44,58.65,647965,580363,50884,2818,139,1866,5934,655582
2019,3,Santiago del Estero,7.15,28.82,69371,62133,5448,302,1488,924,3725,89673
2019,3,Tierra del Fuego,14.8,49.92,25143,22521,1974,109,539,2523,8510,42866
2019,3,Tucumán,11.46,46.26,192297,172235,15101,836,4125,655,2644,109911
2019,4,Buenos Aires,19.21,58.41,3348525,2994702,266943,14902,71978,1619,4923,2824205
2019,4,Capital Federal,48.12,115.69,1478871,1322606,117895,6581,31789,2917,7013,896441
