Año,Trimestre,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Ingresos telefonía fija (miles de $),Periodo,Accesos TV por suscripción por cada 100 hab,Accesos TV satelital por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV satelital por cada 100 hogares,Accesos TV por suscripción,Accesos TV satelital,Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $),Accesos por cada 100 hab_movil,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Llamadas pospago salientes (miles),Llamadas prepago salientes (miles),Total de llamadas salientes (miles),Minutos pospago salientes (miles),Minutos prepago salientes (miles),Total de minutos salientes (miles),Nímero de SMS salientes,Ingresos telefonía móvil (miles de $)
2014,1,9562231,7897980,1065834,30917,5675,22.49,74.04,2916071.75,Ene-Mar 2014,1274,557,4272,1848,6427199,2643542,3599484.35,2001221.17,148,8224482,54725089,62949571,4001399,3589181,7590580,10128751,5799223,15927974,18393198881,15938353
2014,2,9548994,7872511,1073038,31339,572106,22.40,73.65,2974865.20,Abr-Jun 2014,1509,597,5061,1981,6438522,2546820,4053729.07,2341708.31,143,7953775,53009865,60963640,4373148,3942142,8315290,10821463,6438071,17259534,15877208560,17680972
2014,3,9613361,7924613,1091747,32516,564485,22.49,73.86,3105462.02,Jul-Sept 2014,1512,574,507,1906,6449845,2450098,4423008.82,2530796.72,143,8214424,53102043,61316467,4676132,4356668,9032801,11524344,7179152,18703495,14201444366,18976053
2014,4,9689752,7989623,1106502,33139,560488,22.61,74.16,3339690.90,Oct-Dic 2014,1518,578,5092,1918,6478044,2466184,4711967.39,2686124.01,143,8027505,53093330,61120835,4957353,4649196,9606550,11997330,7147630,19144961,12287624401,20012332
2015,1,10086221,8358053,1134427,36888,556853,23.47,76.89,3260124.75,Ene-Mar 2015,1486,579,4986,1941,6409504,2495326,5292088.22,3021837.23,140,7747230,52474633,60221863,4180427,3992229,8172656,10273637,6480172,16753809,14254061889,19337342
2015,2,9991190,8291156,1103025,34419,56259,23.18,75.87,3425518.48,Abr-Jun 2015,1498,599,5025,2009,6460053,2582737,5467604.99,3196655.00,139,7633527,52241939,59875466,4612087,4081505,8693592,11226576,6579819,17806395,12732243852,19945453
2015,3,10050617,8364541,1095767,3523,555079,23.26,76.03,3590883.18,Jul-Sept 2015,1505,599,5048,2011,6489305,2585384,6130815.97,3439335.70,141,7600799,53131712,60732511,4834496,4544938,9379434,11766711,7198826,18965537,11650531080,21785238
2015,4,9975798,8380800,1003363,35161,556474,23.03,75.17,3815364.12,Oct-Dic 2015,1508,588,5061,1974,6506102,2537610,6347226.86,3635228.39,143,7594526,54247485,61842011,5015851,4799840,9815691,11905073,7301039,19206111,10588029213,24881967
2016,1,10239381,8950226,721226,37841,530088,23.57,76.86,4198260.39,Ene-Mar 2016,1492,583,5008,1955,6505712,2539255,7137386.23,4069679.63,142,7483126,54003635,61486761,4602640,4291789,8894429,11230991,6656647,17887638,9525079422,24763052
2016,2,10379749,9037000,759247,38093,545409,23.83,77.65,4718769.82,Abr-Jun 2016,1499,606,503,2034,6534381,2642286,7353428.98,4400976.43,143,7565115,54557406,62122521,4633918,4362030,8995948,11493027,6778732,18271759,8390644680,25353971
2016,3,10130489,8829818,724585,37068,539018,23.20,75.53,4951967.66,Jul-Sept 2016,15,603,5034,2024,6538382,2628542,8293761.49,4653224.18,146,7520789,56058550,63579339,5125311,3985485,9110796,11923391,7077838,19001229,7610368636,27416177
2016,4,10260812,8971186,721607,37856,530163,23.44,76.32,4964596.39,Oct-Dic 2016,1503,611,5045,2049,6553801,2662031,8517141.20,5016640.95,146,7637635,56082170,63719805,5977412,3289295,9266707,15960765,6938892,22899656,7269739541,30143233
2017,1,10239381,8950226,721226,37841,530088,23.57,76.86,6375681.76,Ene-Mar 2017,1499,575,4901,1877,6603332,2531404,9607361.15,5262244.08,144,7502772,55523350,63026122,5337927,2883162,8221089,14630269,6209983,20840252,6595759974,31205565
2017,2,10379749,9037000,759247,38093,545409,23.83,77.65,6970617.22,Abr-Jun 2017,1538,585,50,1904,6766484,2576258,9936138.83,5764634.73,143,7415230,55483528,62898758,5431369,2753032,8184400,15315167,6293563,21608730,6313944821,33509264
2017,3,10130489,8829818,724585,37068,539018,23.20,75.53,6667943.53,Jul-Sept 2017,1536,589,4984,191,6767020,2592551,10764742.40,6093649.61,141,7272585,54958224,62230809,5401689,2812805,8214493,15106275,6308373,21414647,5784899010,35711689
2017,4,10260812,8971186,721607,37856,530163,23.44,76.32,5514336.19,Oct-Dic 2017,1543,579,5012,1881,6826025,2562320,11642559.21,6844906.43,140,7108228,54789151,61897379,5506428,2895913,8402341,14164552,5380710,19545262,5261403776,38110028
2018,1,9666921,8490573,711654,37447,427247,21.80,70.74,8252279.99,Ene-Mar 2018,1563,556,5073,1805,6932176,2466902,12277309.95,7145424.82,137,7101698,53470098,60571796,4629943,2639039,7268982,13423580,5850985,19274565,4402925087,38733946
2018,2,9703699,8638311,712144,38473,314771,21.77,70.78,7911723.07,Abr-Jun 2018,1559,563,5056,1826,6930762,2502826,13358361.56,7797684.06,134,6637444,52828949,59466393,4997593,2617568,7615161,14240217,6027374,20267591,4447456352,40653502
2018,3,9694988,8656721,709503,38828,289936,21.75,70.49,10111350.57,Jul-Sept 2018,158,569,5121,1844,7043550,2536706,14197598.63,8179603.00,132,6551391,52289745,58841136,5114169,2585551,7699720,14574305,6108477,20682782,3939633281,43280089
2018,4,9805917,8764892,7157,39825,2855,21.95,71.07,8997157.88,Oct-Dic 2018,1547,554,501,1794,6911972,2474558,15211246.86,8270871.03,131,6488017,52110024,58598041,5415217,2825480,8240697,14915060,6613685,21528745,3697690058,44026803
2019,1,8327400,7360178,655594,34826,276802,18.59,60.16,12238568.39,Ene-Mar 2019,1558,552,5042,1787,6971691,2473124,17479491.54,8816484.13,131,6645995,51960447,58606442,4990885,2569628,7560513,13733817,6182149,20364355,2979265948,50246691
2019,2,8129983,7177951,640458,34264,27731,18.11,58.55,14181055.21,Abr-Jun 2019,157,548,5076,1772,7048709,2460177,18392209.47,9937613.38,129,5924037,51672054,57596091,5081581,2632188,7713769,13986048,6174603,20160651,2827445823,55338816
2019,3,7892689,7069250,619801,34329,169309,17.53,56.66,13404569.15,Jul-Sept 2019,159,547,5137,1767,7156690,2460927,20284731.23,10896197.62,129,5974898,50300828,56275726,4735772,2519093,7254864,13444769,6819314,20264083,2949922014,60905891
2019,4,7762812,6942553,618847,34546,166866,17.20,55.55,20321577.16,Oct-Dic 2019,1617,545,5221,176,7296185,2459872,22785446.51,12150588.86,125,5797378,50133536,55930914,4935402,2665719,7601121,11828877,6567190,18396067,2175994230,65388842
2020,1,7555630,6778310,605915,33415,13799,16.70,53.89,17067597.82,Ene-Mar 2020,1597,543,5151,1752,7221911,2456768,25147465.80,12352763.88,124,5743132,49869048,55612810,4356731,2226861,6583591,13764635,6211879,19976514,1957599508,72077147
2020,2,7463257,6694729,598402,34391,135735,16.46,53.06,21035522.89,Abr-Jun 2020,1593,541,5136,1745,7224135,2453731,24620009.49,12544725.93,122,5659667,49391056,55050723,3944061,2091330,6035390,14584356,5949100,20533456,1941261096,73538944
2020,3,7432548,6712162,542624,36283,141479,16.35,52.68,18162023.89,Jul-Sept 2020,1613,54,5195,1738,7329433,2451671,25386154.60,12933200.33,120,5559724,49060162,54619886,4216177,2040647,6256823,14536705,5696019,20232724,1887885018,79634755
2020,4,7364032,6621370,579315,34155,129192,16.16,52.03,19750303.98,Oct-Dic 2020,161,509,518,1639,7332508,2320365,26324098.62,14479622.62,120,5556299,49207602,54763900,4653523,1353625,6007148,14421377,5768783,20190160,1162624348,83479114
2021,1,7200461,6459673,557287,34041,14946,15.92,51.36,21378667.68,Ene-Mar 2021,1609,495,5174,1593,7346948,2261855,31924515.01,18038360.96,124,6041047,50411986,56453033,4312129,1273254,5585383,12992366,5469581,18461947,1061013967,93112153
2021,2,7081716,6378508,545706,34144,123358,15.62,50.35,22178751.89,Abr-Jun 2021,1602,508,5148,1633,7333071,2326029,33674995.79,18038442.36,124,6046091,50829471,56875562,4343282,1084244,5427526,13869978,5354043,19224021,748701689,104782020
2021,3,7003303,6311742,5365,34225,120836,15.41,49.64,20789995.21,Jul-Sept 2021,1673,468,5372,1503,7676892,2147571,36398025.53,18039519.50,126,6104479,51708030,57812509,4365100,1195389,5560488,13152393,5440364,18592757,1109243724,117751925
2021,4,7626355,6933738,538714,34262,119641,16.74,53.88,40616059.17,Oct-Dic 2021,1652,437,5299,1402,7596758,2010217,38273391.80,18038065.44,128,6186994,52878833,59065827,4580319,1355533,5935852,12944094,5456088,18400182,929840583,127389786
2022,1,7664854,6984398,529745,34087,116624,16.95,54.67,27985609.00,Ene-Mar 2022,1641,445,5261,1425,7564827,2049628,42093870.19,21268086.24,129,6185039,53217542,59402581,4073512,1265694,5339206,12362900,3586127,15949027,909954575,130454676
2022,2,7633074,6960775,524421,34151,113727,16.84,54.27,38693400.08,Abr-Jun 2022,1655,447,5301,1431,7647584,2064637,46292673.44,23559484.83,129,6215483,53286808,59502291,4109736,1364889,5474625,12436524,3776195,16212719,789033575,153032313
2022,3,7525944,6880892,503266,33107,108679,16.56,53.34,31443440.29,Jul-Sept 2022,1656,446,5297,1427,7665931,2064699,52242784.63,27073190.89,129,6249094,53464409,59713503,4080043,1309303,5389346,12576478,3868161,16444639,803389256,174057836
